precinct,pri_dem_CLINTON,pri_dem_FUENTE,pri_dem_O'MALLEY,pri_dem_SANDERS,pri_rep_BUSH,pri_rep_CARSON,pri_rep_CHRISTIE,pri_rep_CRUZ,pri_rep_FIORINA,pri_rep_GRAHAM,pri_rep_HUCKABEE,pri_rep_KASICH,pri_rep_PATAKI,pri_rep_PAUL,pri_rep_RUBIO,pri_rep_SANTORUM,pri_rep_TRUMP
OAKLANDW. BLOOMFIELD 6,237,0,0,118,2,2,0,35,1,0,0,104,0,1,38,0,84
OAKLANDW. BLOOMFIELD 7,257,0,2,153,4,3,4,24,1,0,0,108,0,0,33,1,108
OAKLANDW. BLOOMFIELD 8,185,1,2,212,4,3,0,92,0,0,0,241,0,2,72,0,189
OAKLANDW. BLOOMFIELD 9,262,0,0,171,1,1,1,48,0,1,1,120,1,1,35,0,80
OAKLANDWALLED LAKE 1,197,0,0,236,3,7,0,90,0,0,0,108,0,2,36,1,160
OAKLANDWALLED LAKE 2,186,0,0,208,2,7,0,94,1,0,2,113,0,2,36,0,222
OAKLANDWATERFORD 1,101,0,1,148,4,4,0,74,0,1,1,121,0,2,47,1,202
OAKLANDWATERFORD 10,126,0,1,119,3,6,1,110,0,0,0,121,0,1,47,0,190
OAKLANDWATERFORD 11,86,0,0,143,2,3,2,66,1,1,4,98,0,0,25,0,183
OAKLANDWATERFORD 12,132,0,1,166,7,10,1,68,2,0,2,124,0,0,42,0,202
OAKLANDWATERFORD 13,137,0,0,139,3,5,1,39,0,0,0,58,0,2,22,0,105
OAKLANDWATERFORD 14,96,0,0,114,3,8,0,61,4,0,0,79,0,2,30,3,157
OAKLANDWATERFORD 15,121,0,0,135,5,8,1,42,0,0,0,65,0,0,27,1,162
OAKLANDWATERFORD 16,99,0,0,147,4,6,0,83,0,0,1,118,0,0,40,1,188
OAKLANDWATERFORD 17,173,0,1,183,8,7,0,65,0,0,0,63,1,1,35,1,162
OAKLANDWATERFORD 18,91,0,2,173,3,4,0,69,0,0,1,79,0,3,26,1,162
OAKLANDWATERFORD 19,130,1,0,180,3,4,0,47,1,0,0,71,0,1,20,0,137
OAKLANDWATERFORD 2,144,0,0,185,2,5,0,87,2,0,2,101,0,5,34,2,189
OAKLANDWATERFORD 20,124,0,1,188,5,6,0,39,0,0,0,49,0,0,15,1,93
OAKLANDWATERFORD 21,135,0,1,172,2,1,0,74,0,0,1,76,1,0,22,1,131
OAKLANDWATERFORD 22,139,0,0,192,0,6,1,81,0,0,1,103,0,1,42,1,190
OAKLANDWATERFORD 23,152,0,0,193,1,6,0,78,0,0,2,92,0,3,46,0,230
OAKLANDWATERFORD 24,150,0,1,194,3,6,0,86,2,0,1,131,0,0,46,0,211
OAKLANDWATERFORD 25,111,1,0,244,3,8,1,76,0,0,3,110,0,1,26,0,185
OAKLANDWATERFORD 26,106,0,0,142,2,4,0,56,0,0,0,50,0,0,13,0,127
OAKLANDWATERFORD 27,127,0,0,201,1,3,0,72,0,0,1,97,0,1,27,0,177
OAKLANDWATERFORD 28,113,0,1,145,3,7,0,48,0,0,0,60,0,1,16,1,135
OAKLANDWATERFORD 29,98,0,0,119,1,9,1,50,0,0,1,76,0,3,29,2,148
OAKLANDWATERFORD 3,91,0,0,108,5,5,1,49,0,0,1,94,0,0,35,0,156
OAKLANDWATERFORD 4,136,0,1,176,2,6,1,97,0,0,0,91,0,0,34,0,172
OAKLANDWATERFORD 5,104,0,0,134,2,11,1,71,1,0,0,85,0,2,27,0,192
OAKLANDWATERFORD 6,149,0,2,202,6,10,1,94,1,1,1,126,2,0,34,0,182
OAKLANDWATERFORD 7,75,0,0,107,2,7,0,105,1,0,0,125,1,1,32,0,168
OAKLANDWATERFORD 8,108,0,0,148,1,5,0,117,0,0,1,155,0,2,52,2,231
OAKLANDWATERFORD 9,94,0,0,117,3,3,0,80,0,1,0,82,0,0,29,0,155
OAKLANDWHITE LAKE 1,141,0,1,140,6,6,4,116,0,0,0,170,1,2,59,1,230
OAKLANDWHITE LAKE 10,73,0,2,137,1,3,0,68,1,0,1,93,1,2,33,0,193
OAKLANDWHITE LAKE 11,98,1,0,147,6,7,1,109,0,0,0,137,0,3,36,0,291
OAKLANDWHITE LAKE 12,100,0,0,82,12,4,0,59,1,0,0,96,0,3,33,1,126
OAKLANDWHITE LAKE 2,118,1,1,161,2,7,5,113,1,0,0,139,1,0,48,1,297
OAKLANDWHITE LAKE 3,64,0,0,78,6,10,2,72,0,0,1,106,0,2,40,0,158
OAKLANDWHITE LAKE 4,45,0,0,90,2,1,0,58,0,0,1,56,0,0,17,0,114
OAKLANDWHITE LAKE 5,123,0,0,193,4,10,2,122,0,0,1,142,0,2,54,0,246
OAKLANDWHITE LAKE 6,147,0,2,194,5,7,1,96,0,0,2,103,0,1,42,0,265
OAKLANDWHITE LAKE 7,89,0,0,131,3,13,0,98,0,0,1,113,0,3,46,1,199
OAKLANDWHITE LAKE 8,106,0,0,180,2,8,5,87,0,0,0,106,0,3,33,0,262
OAKLANDWHITE LAKE 9,100,0,1,188,1,5,0,60,0,0,1,104,1,0,38,0,186
OAKLANDWIXOM 1,127,0,0,168,3,10,2,135,1,0,0,194,0,1,48,0,222
OAKLANDWIXOM 2,94,0,1,154,4,2,0,127,0,0,1,191,1,2,42,2,207
OAKLANDWIXOM 3,228,0,0,220,2,8,1,47,0,0,1,35,0,0,19,0,110
OAKLANDWIXOM 4,167,0,0,201,4,11,2,110,1,0,0,140,0,0,65,1,181
